Location,Code,Island,Latitude,Longitude,ReefComplex,Depth,YearAdded,Rugosity,InfectionDate,Notes
Black Point,BPT,STT,18.34450,-64.98595,Nearshore,9,2003,1.39,2/3/2019,
Botany Bay,BTY,STT,18.35738,-65.03442,Nearshore,8,2002,1.34,5/8/2019,
Brewers Bay,BWR,STT,18.34403,-64.98435,Nearshore,6,2002,1.59,2/3/2019,
Buck Island STT,BIT,STT,18.27883,-64.89833,Offshore,14,2005,1.35,1/17/2020,
Buck Island STX,BIX,STX,17.78500,-64.60917,Offshore,15,2002,1.42,3/12/2021,
Buck Island STX Deep,BID,STX,17.80659,-64.59935,Mesophotic,33,2017,NA,3/15/2021,
Cane Bay,CBS,STX,17.77388,-64.81350,Nearshore,10,2002,1.87,4/6/2021,
Cane Bay Deep,CBD,STX,17.77661,-64.81522,Mesophotic,38,2009,1.44,4/6/2021,
Castle,CST,STX,17.76278,-64.59743,Offshore,7,2003,1.40,4/7/2021,
Coculus Rock,CKR,STT,18.31257,-64.86058,Nearshore,7,2002,1.23,3/1/2020,
College Shoal East,CSE,STT,18.18568,-65.07677,Mesophotic,30,2003,1.55,10/1/2019,
Coral Bay,CRB,STJ,18.33797,-64.70402,Nearshore,9,2011,1.43,12/10/2020,
Eagle Ray,EGR,STX,17.76150,-64.69880,Offshore,10,2002,1.23,4/7/2021,
Fish Bay,FSB,STJ,18.31417,-64.76408,Nearshore,6,2002,1.40,7/15/2020,First report of suspicious looking corals; Rugosity is average of inner (1.27) and outer (1.53) transects
Flat Cay,FLC,STT,18.31822,-64.99104,Offshore,12,2003,1.45,1/28/2019,
Ginsburg Fringe,GBF,STT,18.18770,-64.95998,Mesophotic,63,2011,1.14,NA,
Grammanik Tiger FSA,GKT,STT,18.18885,-64.95659,Mesophotic,38,2003,2.62,2/1/2020,
Great Pond,GRP,STX,17.71097,-64.65221,Nearshore,6,2003,1.10,3/13/2021,
Hind Bank East FSA,HBE,STT,18.20217,-65.00158,Mesophotic,39,2003,NA,2/1/2020,
Jacks Bay,JKB,STX,17.74337,-64.57160,Nearshore,14,2002,1.25,4/7/2021,
Kings Corner,KGC,STX,17.69116,-64.90008,Nearshore,17,2007,1.73,3/14/2021,
Lang Bank EEMP,LBP,STX,17.72145,-64.54706,Mesophotic,27,2009,1.18,3/13/2021,
Lang Bank Red Hind FSA,LBH,STX,17.82427,-64.44963,Mesophotic,33,2002,1.34,3/12/2021,
Magens Bay,MGN,STT,18.37425,-64.93438,Nearshore,7,2002,1.73,3/5/2020,
Meri Shoal,MSR,STJ,18.24447,-64.75862,Mesophotic,30,2005,1.27,9/24/2020,
Mutton Snapper FSA,MTS,STX,17.63660,-64.86240,Offshore,24,2003,1.50,3/14/2021,
Salt River Deep,SRD,STX,17.78523,-64.75917,Mesophotic,30,2009,1.74,4/8/2021,
Salt River West,SRW,STX,17.78530,-64.75940,Nearshore,11,2002,1.29,4/8/2021,
Savana,SVN,STT,18.34064,-65.08205,Offshore,9,2003,1.35,4/1/2019,
Seahorse Cottage Shoal,SHR,STT,18.29467,-64.86750,Offshore,20,2003,1.18,9/1/2019,
South Capella,SCP,STT,18.26267,-64.87237,Offshore,20,2003,1.44,2/4/2020,
South Water,SWT,STT,18.28068,-64.94592,Offshore,20,2005,1.33,10/1/2019,
Sprat Hole,SPH,STX,17.73400,-64.89540,Nearshore,8,2002,2.38,3/14/2021,
St James,SSJ,STT,18.29459,-64.83238,Offshore,15,2005,1.37,1/25/2020,